Disease,ICD10code
Infections of Other or unspecified organs,B677
Infection of liver,B678
Infections of Other or unspecified organs,B679
Infections of Other or unspecified organs,B68
Parasitic infections,B69
Other nervous system infections,B690
Eye infections,B691
Infections of Other or unspecified organs,B698
Infections of Other or unspecified organs,B699
Infections of Other or unspecified organs,B70
Infections of Other or unspecified organs,B71
Infections of Other or unspecified organs,B72
Infections of Other or unspecified organs,B73
Infections of Other or unspecified organs,B74
Infections of Other or unspecified organs,B75
Infections of Other or unspecified organs,B76
Infections of Other or unspecified organs,B77
Parasitic infections,B78
Infections of the digestive system,B780
Infection of skin and subcutaneous tissues,B781
Infections of Other or unspecified organs,B787
Infections of Other or unspecified organs,B789
Infections of Other or unspecified organs,B79
Infections of Other or unspecified organs,B80
Infections of the digestive system,B81
Infections of the digestive system,B82
Infections of Other or unspecified organs,B83
Infection of skin and subcutaneous tissues,B85
Infection of skin and subcutaneous tissues,B86
Parasitic infections,B87
Infection of skin and subcutaneous tissues,B870
Infection of skin and subcutaneous tissues,B871
Eye infections,B872
Ear and Upper Respiratory Tract Infections,B873
Ear and Upper Respiratory Tract Infections,B874
Infections of Other or unspecified organs,B878
Infections of Other or unspecified organs,B879
Infection of skin and subcutaneous tissues,B88
Infections of Other or unspecified organs,B89
Tuberculosis,B90
Other nervous system infections,B900
Infection of other or unspecified genitourinary system,B901
Infection of bones and joints,B902
Infections of Other or unspecified organs,B908
Infections of Other or unspecified organs,B909
Viral diseases (excl chronic hepatitis/HIV),B91
Bacterial Diseases (excl TB),B92
Bacterial Diseases (excl TB),B940
Encephalitis,B941
Viral diseases (excl chronic hepatitis/HIV),B942
Infections of Other or unspecified organs,B948
Infections of Other or unspecified organs,B949
Bacterial Diseases (excl TB),B95
Bacterial Diseases (excl TB),B96
Infections of Other or unspecified organs,B97
Bacterial Diseases (excl TB),B980
Bacterial Diseases (excl TB),B981
Infections of Other or unspecified organs,B99
Primary Malignancy_Oro-pharyngeal,C00
Primary Malignancy_Oro-pharyngeal,C01
Primary Malignancy_Oro-pharyngeal,C02
Primary Malignancy_Oro-pharyngeal,C03
Primary Malignancy_Oro-pharyngeal,C04
Primary Malignancy_Oro-pharyngeal,C05
Primary Malignancy_Oro-pharyngeal,C06
Primary Malignancy_Oro-pharyngeal,C07
Primary Malignancy_Oro-pharyngeal,C08
Primary Malignancy_Oro-pharyngeal,C09
Primary Malignancy_Oro-pharyngeal,C10
Primary Malignancy_Oro-pharyngeal,C11
Primary Malignancy_Oro-pharyngeal,C12
Primary Malignancy_Oro-pharyngeal,C13
Primary Malignancy_Oro-pharyngeal,C14
Primary Malignancy_Oesophageal,C15
Primary Malignancy_Stomach,C16
Primary Malignancy_Other Organs,C17
Primary Malignancy_colorectal and anus,C18
Primary Malignancy_colorectal and anus,C19
Primary Malignancy_colorectal and anus,C20
Primary Malignancy_colorectal and anus,C21
Primary Malignancy_Liver,C220
Primary Malignancy_biliary tract,C221
Primary Malignancy_Liver,C222
Primary Malignancy_Liver,C223
Primary Malignancy_Liver,C224
Primary Malignancy_Liver,C227
Primary Malignancy_Liver,C229
Primary Malignancy_Other Organs,C23
Primary Malignancy_biliary tract,C24
Primary Malignancy_Pancreatic,C25
Primary Malignancy_Other Organs,C260
Primary Malignancy_Other Organs,C261
Primary Malignancy_Other Organs,C268
Primary Malignancy_Other Organs,C269
Primary Malignancy_Other Organs,C300
Primary Malignancy_Other Organs,C301
Primary Malignancy_Other Organs,C31
Primary Malignancy_Other Organs,C32
Primary Malignancy_Lung and trachea,C33
Primary Malignancy_Lung and trachea,C34
Primary Malignancy_Other Organs,C37
Primary Malignancy_Other Organs,C380
Primary Malignancy_Other Organs,C381
Primary Malignancy_Other Organs,C382
Primary Malignancy_Other Organs,C383
Primary Malignancy_Other Organs,C384
Primary Malignancy_Other Organs,C388
Primary Malignancy_Other Organs,C390
Primary Malignancy_Other Organs,C398
Primary Malignancy_Other Organs,C399
Primary Malignancy_Bone and articular cartilage,C40
Primary Malignancy_Bone and articular cartilage,C41
Primary Malignancy_Malignant Melanoma,C43
Primary Malignancy_Other Skin and subcutaneous tissue,C44
Primary Malignancy_Mesothelioma,C45
Primary Malignancy_Other Organs,C46
Primary Malignancy_Other Organs,C47
Primary Malignancy_Other Organs,C48
Primary Malignancy_Other Organs,C49
Primary Malignancy_Breast,C50
Primary Malignancy_Other Organs,C51
Primary Malignancy_Other Organs,C52
Primary Malignancy_Cervical,C53
Primary Malignancy_Uterine,C54
Primary Malignancy_Uterine,C55
Primary Malignancy_Ovarian,C56
Primary Malignancy_Other Organs,C57
Primary Malignancy_Other Organs,C58
Primary Malignancy_Other Organs,C60
Primary Malignancy_Prostate,C61
Primary Malignancy_Testicular,C62
Primary Malignancy_Other Organs,C63
Primary Malignancy_Kidney and Ureter,C64
Primary Malignancy_Kidney and Ureter,C65
Primary Malignancy_Kidney and Ureter,C66
Primary Malignancy_Bladder,C67
Primary Malignancy_Other Organs,C68
Primary Malignancy_Other Organs,C69
"Primary Malignancy_Brain, Other CNS and Intracranial",C70
"Primary Malignancy_Brain, Other CNS and Intracranial",C71
"Primary Malignancy_Brain, Other CNS and Intracranial",C72
Primary Malignancy_Thyroid,C73
Primary Malignancy_Other Organs,C74
Primary Malignancy_Other Organs,C750
"Primary Malignancy_Brain, Other CNS and Intracranial",C751
"Primary Malignancy_Brain, Other CNS and Intracranial",C752
"Primary Malignancy_Brain, Other CNS and Intracranial",C753
"Primary Malignancy_Brain, Other CNS and Intracranial",C754
"Primary Malignancy_Brain, Other CNS and Intracranial",C755
Primary Malignancy_Other Organs,C758
Primary Malignancy_Other Organs,C759
Primary Malignancy_Other Organs,C76
Secondary Malignancy_Lymph Nodes,C77
Secondary Malignancy_Lung,C780
Secondary Malignancy_Other organs,C781
Secondary Malignancy_Pleura,C782
Secondary Malignancy_Other organs,C783
Secondary Malignancy_Bowel,C784
Secondary Malignancy_Bowel,C785
Secondary Malignancy_retroperitoneum and peritoneum,C786
Secondary malignancy_Liver and intrahepatic bile duct,C787
Secondary Malignancy_Other organs,C788
Secondary Malignancy_Other organs,C790
Secondary Malignancy_Other organs,C791
Secondary Malignancy_Other organs,C792
"Secondary Malignancy_Brain, Other CNS and Intracranial",C793
"Secondary Malignancy_Brain, Other CNS and Intracranial",C794
Secondary Malignancy_Bone,C795
Secondary Malignancy_Other organs,C796
Secondary Malignancy_Adrenal gland,C797
Secondary Malignancy_Other organs,C798
Secondary Malignancy_Other organs,C799
Primary Malignancy_Other Organs,C80
Hodgkin Lymphoma,C81
Non-Hodgkin Lymphoma,C82
Non-Hodgkin Lymphoma,C83
Non-Hodgkin Lymphoma,C84
Non-Hodgkin Lymphoma,C85
Non-Hodgkin Lymphoma,C86
Multiple myeloma and malignant plasma cell neoplasms,C880
Multiple myeloma and malignant plasma cell neoplasms,C882
Primary Malignancy_Other Organs,C883
Primary Malignancy_Other Organs,C884
Primary Malignancy_Other Organs,C887
Primary Malignancy_Other Organs,C889
Multiple myeloma and malignant plasma cell neoplasms,C90
Leukaemia,C91
Leukaemia,C92
Leukaemia,C93
Leukaemia,C94
Leukaemia,C95
Primary Malignancy_Other Organs,C96
Primary Malignancy_Multiple independent sites,C97
Primary Malignancy_Breast,D05
Carcinoma in situ_cervical,D06
"Benign neoplasm of colon, rectum, anus and anal canal",D12
Benign neoplasm of stomach and duodenum,D131
Benign neoplasm of stomach and duodenum,D132
Benign neoplasm of stomach and duodenum,D133
"Haemangioma, any site",D180
Leiomyoma of uterus,D25
Benign neoplasm and polyp of uterus,D261
Benign neoplasm and polyp of uterus,D267
Benign neoplasm and polyp of uterus,D269
Benign neoplasm of ovary,D27
Benign neoplasm of brain and other parts of central nervous system,D32
Benign neoplasm of brain and other parts of central nervous system,D33
Benign neoplasm of brain and other parts of central nervous system,D352
Benign neoplasm of brain and other parts of central nervous system,D353
Benign neoplasm of brain and other parts of central nervous system,D354
Benign neoplasm of brain and other parts of central nervous system,D355
Benign neoplasm of brain and other parts of central nervous system,D356
Polycythaemia vera,D45
Myelodysplastic syndromes,D46
Monoclonal gammopathy of undetermined significance (MGUS),D472
Iron deficiency anaemia,D50
Vitamin B12 deficiency anaemia,D51
Folate deficiency anaemia,D52
Other anaemias,D53
Other haemolytic anaemias,D55
Thalassaemia,D560
Thalassaemia,D561
Thalassaemia,D562
Thalassaemia trait,D563
Thalassaemia,D568
Thalassaemia,D569
Sickle-cell anaemia,D570
Sickle-cell anaemia,D571
Sickle-cell anaemia,D572
Sickle-cell trait,D573
Sickle-cell anaemia,D578
Other haemolytic anaemias,D58
Other haemolytic anaemias,D59
Aplastic anaemias,D60
Aplastic anaemias,D61
Other anaemias,D62
Other anaemias,D63
Other anaemias,D64
Thrombophilia,D685
Thrombophilia,D686
Primary or Idiopathic Thrombocytopaenia,D693
Primary or Idiopathic Thrombocytopaenia,D694
Secondary or other Thrombocytopaenia,D695
Secondary or other Thrombocytopaenia,D696
Agranulocytosis,D70
Hyposplenism,D730
Splenomegaly,D731
Splenomegaly,D732
Hyposplenism,D735
Secondary polycythaemia,D751
Immunodeficiencies,D80
Immunodeficiencies,D81
Immunodeficiencies,D82
Secondary or other Thrombocytopaenia,D820
Immunodeficiencies,D83
Immunodeficiencies,D840
Immunodeficiencies,D848
Immunodeficiencies,D849
Sarcoidosis,D86
Hypo or hyperthyroidism,E035
Hypo or hyperthyroidism,E038
Hypo or hyperthyroidism,E039
Hypo or hyperthyroidism,E050
Hypo or hyperthyroidism,E051
Hypo or hyperthyroidism,E052
Hypo or hyperthyroidism,E055
Hypo or hyperthyroidism,E058
Hypo or hyperthyroidism,E059
Hypo or hyperthyroidism,E062
Hypo or hyperthyroidism,E063
Hypo or hyperthyroidism,E065
Hypo or hyperthyroidism,E069
Diabetes,E10
Diabetic ophthalmic complications,E103
Diabetic neurological complications,E104
Diabetes,E11
Diabetic ophthalmic complications,E113
Diabetic neurological complications,E114
Diabetes,E12
Diabetic ophthalmic complications,E123
Diabetic neurological complications,E124
Diabetes,E13
Diabetic ophthalmic complications,E133
Diabetic neurological complications,E134
Diabetes,E14
Diabetic ophthalmic complications,E143
Diabetic neurological complications,E144
Hyperparathyroidism,E210
Hyperparathyroidism,E211
Hyperparathyroidism,E212
Hyperparathyroidism,E213
Syndrome of inappropriate secretion of antidiuretic hormone,E222
Alcohol Problems,E244
Polycystic ovarian syndrome,E282
Obesity,E66
Cystic Fibrosis,E84
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),E851
Dementia,F00
Dementia,F01
Parkinson's disease,F023
HIV,F024
Dementia,F03
"Delirium, not induced by alcohol and other psychoactive substances",F05
Dementia,F051
Alcohol Problems,F101
Alcohol Problems,F102
Alcohol Problems,F103
Alcohol Problems,F104
Alcohol Problems,F105
Alcohol Problems,F106
Alcohol Problems,F107
Alcohol Problems,F108
Alcohol Problems,F109
Other psychoactive substance misuse,F11
Other psychoactive substance misuse,F12
Other psychoactive substance misuse,F13
Other psychoactive substance misuse,F14
Other psychoactive substance misuse,F15
Other psychoactive substance misuse,F16
Other psychoactive substance misuse,F18
Other psychoactive substance misuse,F19
"Schizophrenia, schizotypal and delusional disorders",F20
"Schizophrenia, schizotypal and delusional disorders",F21
"Schizophrenia, schizotypal and delusional disorders",F22
"Schizophrenia, schizotypal and delusional disorders",F25
"Schizophrenia, schizotypal and delusional disorders",F28
"Schizophrenia, schizotypal and delusional disorders",F29
Bipolar affective disorder and mania,F30
Bipolar affective disorder and mania,F31
Depression,F32
Depression,F33
Anxiety disorders,F40
Anxiety disorders,F41
Obsessive-compulsive disorder,F42
"Postviral fatigue syndrome, neurasthenia and fibromyalgia",F480
Anorexia and bulimia nervosa,F500
Anorexia and bulimia nervosa,F501
Anorexia and bulimia nervosa,F502
Anorexia and bulimia nervosa,F503
Erectile dysfunction,F522
Personality disorders,F60
Personality disorders,F61
Intellectual disability,F70
Intellectual disability,F71
Intellectual disability,F72
Intellectual disability,F73
Intellectual disability,F78
Intellectual disability,F79
Intellectual disability,F819
Autism and Asperger's syndrome,F840
Autism and Asperger's syndrome,F841
Autism and Asperger's syndrome,F845
Hyperkinetic disorders,F90
Bacterial Diseases (excl TB),G00
Bacterial Diseases (excl TB),G01
Meningitis,G020
Meningitis,G021
Meningitis,G028
Infections of Other or unspecified organs,G041
Bacterial Diseases (excl TB),G042
Other nervous system infections,G048
Other nervous system infections,G049
Bacterial Diseases (excl TB),G050
Viral diseases (excl chronic hepatitis/HIV),G051
Other nervous system infections,G052
Other nervous system infections,G06
Other nervous system infections,G07
Other nervous system infections,G08
Motor neuron disease,G122
Parkinson's disease,G20
Essential tremor,G250
Dementia,G30
Alcohol Problems,G312
Multiple sclerosis,G35
Epilepsy,G40
Epilepsy,G41
Migraine,G43
Transient ischaemic attack,G450
Transient ischaemic attack,G451
Transient ischaemic attack,G452
Transient ischaemic attack,G453
Transient ischaemic attack,G454
Transient ischaemic attack,G458
Transient ischaemic attack,G459
Transient ischaemic attack,G460
Transient ischaemic attack,G461
Transient ischaemic attack,G462
Stroke NOS,G463
Stroke NOS,G464
Stroke NOS,G465
Stroke NOS,G466
Stroke NOS,G467
Stroke NOS,G468
Sleep apnoea,G473
Trigeminal neuralgia,G500
Bell's palsy,G510
Infections of Other or unspecified organs,G530
Infections of Other or unspecified organs,G531
Sarcoidosis,G532
Carpal tunnel syndrome,G560
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G561
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G562
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G563
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G564
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G568
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),G569
